city,state,stars,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids,goodForGroups
Middleton,WI,3.5,False,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Charlotte,NC,3.0,False,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Surprise,AZ,4.0,False,none,BLANK,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Mesa,AZ,3.5,False,none,BLANK,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
North Las Vegas,NV,4.0,False,none,BLANK,casual,2,BLANK,FALSE,BLANK,FALSE,BLANK,TRUE,1
Edinburgh,EDH,4.0,False,beer_and_wine,BLANK,BLANK,3,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,0
Madison,WI,2.5,False,none,BLANK,casual,1,BLANK,TRUE,BLANK,BLANK,BLANK,BLANK,0
Charlotte,NC,3.5,True,none,quiet,casual,2,TRUE,BLANK,BLANK,BLANK,BLANK,BLANK,1
Mesa,AZ,4.0,False,full_bar,BLANK,BLANK,2,BLANK,BLANK,outdoor,TRUE,BLANK,BLANK,1
Phoenix,AZ,4.0,True,none,BLANK,casual,2,TRUE,BLANK,BLANK,BLANK,FALSE,BLANK,1
Madison,WI,2.0,False,full_bar,BLANK,BLANK,1,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Westmount,QC,4.0,True,none,BLANK,casual,3,TRUE,BLANK,BLANK,FALSE,BLANK,BLANK,1
North Las Vegas,NV,1.0,True,none,very_loud,casual,1,FALSE,BLANK,BLANK,BLANK,BLANK,BLANK,0
Charlotte,NC,4.0,False,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Edinburgh,EDH,4.5,True,none,BLANK,BLANK,3,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Phoenix,AZ,5.0,False,none,BLANK,BLANK,2,BLANK,TRUE,BLANK,BLANK,BLANK,BLANK,0
Pittsburgh,PA,3.0,False,none,BLANK,casual,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1
Pittsburgh,PA,4.5,True,none,BLANK,BLANK,3,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,3.5,True,none,BLANK,BLANK,2,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,1
Pittsburgh,PA,4.5,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Madison,WI,2.0,True,none,BLANK,BLANK,3,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Madison,WI,4.5,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Phoenix,AZ,5.0,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Gilbert,AZ,4.0,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Phoenix,AZ,4.0,False,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,1.5,False,full_bar,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Phoenix,AZ,2.0,True,none,BLANK,BLANK,BLANK,FALSE,FALSE,BLANK,BLANK,BLANK,BLANK,1
Tempe,AZ,3.0,False,none,BLANK,casual,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Edinburgh,EDH,3.5,True,none,BLANK,BLANK,2,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,0
Montral,QC,5.0,True,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,TRUE,BLANK,1
Montral,QC,2.5,True,none,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,BLANK,1
Pittsburgh,PA,3.0,False,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,3.5,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Laval,QC,4.0,False,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Sun Prairie,WI,4.0,False,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Sun Prairie,WI,4.5,True,full_bar,average,casual,2,FALSE,FALSE,no,TRUE,TRUE,BLANK,1
Pittsburgh,PA,3.5,False,none,loud,casual,2,TRUE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Pittsburgh,PA,4.5,True,none,loud,casual,1,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,0
Montral,QC,4.0,True,full_bar,average,casual,4,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Surprise,AZ,2.0,True,none,loud,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Tolleson,AZ,3.0,True,none,loud,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Madison,WI,4.0,False,none,loud,casual,1,TRUE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Waterloo,ON,3.0,True,none,quiet,casual,1,TRUE,FALSE,BLANK,TRUE,BLANK,BLANK,0
Pittsburgh,PA,4.0,False,full_bar,average,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Phoenix,AZ,3.0,True,full_bar,quiet,casual,2,FALSE,TRUE,BLANK,TRUE,TRUE,BLANK,1
Edinburgh,EDH,4.0,True,full_bar,BLANK,BLANK,3,FALSE,TRUE,BLANK,FALSE,BLANK,FALSE,1
Madison,WI,3.5,False,full_bar,average,casual,2,BLANK,TRUE,BLANK,FALSE,TRUE,BLANK,1
Montral,QC,4.5,True,full_bar,average,casual,3,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Phoenix,AZ,5.0,False,none,quiet,casual,1,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Phoenix,AZ,3.0,True,none,quiet,casual,1,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montreal,QC,4.5,True,full_bar,quiet,casual,3,BLANK,TRUE,BLANK,TRUE,BLANK,BLANK,1
Charlotte,NC,3.5,True,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Lle-Bizard,QC,5.0,True,none,quiet,casual,4,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Montral,QC,4.5,True,none,BLANK,casual,1,FALSE,BLANK,BLANK,TRUE,BLANK,BLANK,1
Phoenix,AZ,5.0,True,full_bar,quiet,casual,2,FALSE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Las Vegas,NV,1.5,True,none,BLANK,casual,2,TRUE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Karlsruhe,BW,3.0,True,beer_and_wine,BLANK,casual,2,FALSE,FALSE,no,TRUE,BLANK,BLANK,1
Montreal,QC,3.0,True,beer_and_wine,BLANK,casual,2,TRUE,TRUE,BLANK,TRUE,BLANK,BLANK,0
Harrisburg,NC,3.5,False,none,average,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Goodyear,AZ,3.5,False,none,quiet,casual,1,FALSE,BLANK,BLANK,TRUE,BLANK,BLANK,1
Charlotte,NC,4.5,False,none,loud,casual,1,BLANK,FALSE,BLANK,FALSE,BLANK,BLANK,1
Mesa,AZ,3.0,False,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Casa Grande,AZ,3.5,True,none,BLANK,BLANK,2,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Montreal,QC,4.5,True,beer_and_wine,average,casual,2,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,4.0,True,none,BLANK,casual,2,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,0
Edinburgh,MLN,1.5,True,full_bar,very_loud,BLANK,1,BLANK,BLANK,outdoor,FALSE,BLANK,BLANK,0
Chandler,AZ,3.5,False,none,BLANK,casual,1,BLANK,TRUE,BLANK,TRUE,BLANK,TRUE,1
Las Vegas,NV,3.5,True,none,quiet,casual,2,TRUE,BLANK,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,4.0,True,none,quiet,casual,2,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,0
Edinburgh,EDH,3.5,True,full_bar,BLANK,BLANK,2,BLANK,FALSE,no,FALSE,BLANK,BLANK,1
Montral,QC,3.5,True,full_bar,loud,BLANK,3,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,1
Gilbert,AZ,3.0,False,beer_and_wine,average,casual,1,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,1
Peoria,AZ,4.0,True,none,quiet,casual,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Monona,WI,5.0,False,none,BLANK,casual,1,FALSE,BLANK,BLANK,BLANK,BLANK,BLANK,1
Madison,WI,4.5,False,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,TRUE,BLANK,BLANK,0
Scottsdale,AZ,5.0,True,none,average,casual,BLANK,TRUE,BLANK,BLANK,BLANK,FALSE,BLANK,0
Montreal,QC,3.5,True,full_bar,loud,BLANK,2,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,4.0,True,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Mesa,AZ,2.0,True,none,BLANK,casual,BLANK,TRUE,BLANK,BLANK,BLANK,FALSE,BLANK,1
Verona,WI,4.0,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Madison,WI,1.5,True,none,BLANK,BLANK,2,TRUE,BLANK,BLANK,BLANK,FALSE,BLANK,0
Queen Creek,AZ,5.0,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Matthews,NC,3.5,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Buckeye,AZ,4.5,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Glendale,AZ,4.0,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Montreal,QC,3.5,True,none,BLANK,BLANK,3,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Montreal,QC,4.0,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Pittsburgh,PA,4.0,True,none,BLANK,BLANK,2,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,0
Charlotte,NC,3.5,False,none,BLANK,BLANK,4,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Edinburgh,MLN,4.0,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Edinburgh,EDH,4.0,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Montreal,QC,5.0,True,none,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,BLANK,0
Montral,QC,2.0,True,none,very_loud,BLANK,3,BLANK,TRUE,BLANK,BLANK,BLANK,BLANK,0
Pittsburgh,PA,3.5,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,TRUE,BLANK,0
Phoenix,AZ,5.0,True,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Edinburgh,EDH,3.5,True,none,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,1.5,True,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Edinburgh,EDH,3.5,True,full_bar,average,casual,2,FALSE,TRUE,BLANK,FALSE,TRUE,BLANK,1
Charlotte,NC,4.0,False,full_bar,very_loud,casual,2,FALSE,TRUE,outdoor,FALSE,BLANK,BLANK,1
Edinburgh,EDH,4.0,True,none,average,casual,2,TRUE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Avondale,AZ,2.5,True,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Matthews,NC,4.5,False,none,quiet,casual,1,TRUE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Avondale,AZ,2.5,True,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Montreal,QC,3.0,True,none,quiet,casual,2,TRUE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Montral,QC,4.0,True,beer_and_wine,average,casual,1,BLANK,FALSE,BLANK,FALSE,TRUE,BLANK,1
Scottsdale,AZ,3.0,False,none,quiet,casual,1,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Montral,QC,3.0,False,full_bar,average,casual,2,TRUE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Las Vegas,NV,2.0,True,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,0
Phoenix,AZ,3.5,True,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Phoenix,AZ,4.0,False,none,BLANK,casual,1,TRUE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Anthem,AZ,4.0,True,none,average,casual,1,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Waterloo,ON,3.5,True,full_bar,BLANK,casual,2,BLANK,TRUE,outdoor,TRUE,BLANK,BLANK,0
Waterloo,ON,3.5,True,beer_and_wine,average,casual,2,BLANK,TRUE,BLANK,FALSE,TRUE,BLANK,1
Glendale,AZ,4.0,True,none,average,casual,2,TRUE,TRUE,BLANK,FALSE,TRUE,BLANK,1
Montral,QC,2.0,True,none,quiet,casual,2,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,1
Charlotte,NC,3.5,False,full_bar,loud,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Sainte-Anne-De-Bellevue,QC,4.0,True,full_bar,average,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Charlotte,NC,2.5,True,none,BLANK,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Outremont,QC,4.5,True,full_bar,average,dressy,3,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Charlotte,NC,4.5,True,none,quiet,casual,1,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Las Vegas,NV,5.0,False,none,quiet,casual,2,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Las Vegas,NV,1.5,False,full_bar,very_loud,casual,2,FALSE,TRUE,yes,FALSE,BLANK,BLANK,1
Edinburgh,MLN,4.0,True,none,average,casual,1,TRUE,BLANK,BLANK,FALSE,BLANK,BLANK,0
Montral,QC,3.5,True,full_bar,very_loud,BLANK,1,BLANK,TRUE,outdoor,TRUE,BLANK,BLANK,1
Waterloo,ON,3.0,True,full_bar,average,casual,2,BLANK,TRUE,BLANK,TRUE,BLANK,BLANK,1
Edinburgh,MLN,4.5,True,none,quiet,casual,1,TRUE,BLANK,BLANK,TRUE,TRUE,BLANK,0
Madison,WI,3.0,False,full_bar,loud,casual,BLANK,BLANK,FALSE,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,4.0,True,none,quiet,casual,1,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,0
Edinburgh,MLN,2.5,True,full_bar,quiet,casual,2,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Las Vegas,NV,3.0,False,none,BLANK,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,TRUE,0
Tempe,AZ,3.0,False,full_bar,BLANK,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,TRUE,0
Charlotte,NC,3.0,True,none,average,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,4.0,True,full_bar,BLANK,casual,1,BLANK,TRUE,no,TRUE,BLANK,BLANK,0
Mesa,AZ,4.0,False,none,BLANK,casual,1,FALSE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Verdun,QC,4.0,True,none,BLANK,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Charlotte,NC,3.0,False,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Tempe,AZ,3.0,False,full_bar,BLANK,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Charlotte,NC,3.5,False,none,BLANK,BLANK,1,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,4.0,True,none,quiet,casual,2,FALSE,BLANK,BLANK,TRUE,TRUE,BLANK,0
Charlotte,NC,2.0,True,none,BLANK,casual,BLANK,BLANK,BLANK,BLANK,FALSE,TRUE,BLANK,1
Montreal,QC,3.5,True,beer_and_wine,BLANK,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montreal,QC,2.0,True,none,very_loud,casual,3,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1
Madison,WI,2.5,True,none,loud,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Charlotte,NC,3.5,False,full_bar,BLANK,casual,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1
Verdun,QC,4.0,True,none,BLANK,casual,BLANK,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,1
Phoenix,AZ,4.0,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Champaign,IL,2.0,True,none,quiet,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Phoenix,AZ,3.0,True,none,BLANK,BLANK,1,FALSE,FALSE,BLANK,BLANK,BLANK,BLANK,1
Boulder City,NV,5.0,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,0
Charlotte,NC,3.5,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,1.5,True,none,BLANK,BLANK,4,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,1.0,True,none,BLANK,BLANK,BLANK,TRUE,BLANK,BLANK,BLANK,FALSE,BLANK,1
Scottsdale,AZ,2.5,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Queen Creek,AZ,3.5,True,none,BLANK,casual,2,TRUE,BLANK,BLANK,BLANK,BLANK,BLANK,0
Edinburgh,EDH,3.0,True,beer_and_wine,BLANK,casual,2,FALSE,BLANK,BLANK,BLANK,BLANK,BLANK,1
Las Vegas,NV,5.0,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Pittsburgh,PA,4.0,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Charlotte,NC,2.5,True,none,loud,BLANK,BLANK,BLANK,TRUE,BLANK,BLANK,BLANK,BLANK,0
Charlotte,NC,3.5,True,none,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,0
San Tan Valley,AZ,5.0,False,none,BLANK,casual,BLANK,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,1
Mesa,AZ,3.0,True,full_bar,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,0
Charlotte,NC,3.5,True,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,TRUE,BLANK,BLANK,0
Las Vegas,NV,4.5,True,none,BLANK,BLANK,2,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,0
Phoenix,AZ,4.0,True,none,quiet,BLANK,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,BLANK,0
Montreal,QC,4.0,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Montreal,QC,3.5,False,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Charlotte,NC,3.5,True,none,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Phoenix,AZ,4.5,True,none,average,casual,1,FALSE,TRUE,BLANK,TRUE,TRUE,BLANK,1
Charlotte,NC,2.5,True,none,average,casual,1,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,1
Edinburgh,EDH,3.5,True,full_bar,loud,casual,2,FALSE,TRUE,BLANK,TRUE,FALSE,TRUE,1
Phoenix,AZ,3.5,True,none,quiet,casual,1,TRUE,FALSE,BLANK,FALSE,FALSE,BLANK,0
Phoenix,AZ,2.5,True,none,very_loud,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Las Vegas,NV,4.0,False,none,average,casual,1,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,1
Kitchener,ON,4.5,True,none,quiet,casual,1,TRUE,TRUE,BLANK,FALSE,TRUE,BLANK,1
Phoenix,AZ,4.5,True,full_bar,average,casual,2,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,1
Henderson,NV,4.0,True,none,quiet,casual,2,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,0
Edinburgh,EDH,4.5,True,beer_and_wine,average,casual,2,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,3.0,True,none,quiet,casual,2,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,0
Montral,QC,5.0,True,full_bar,loud,casual,3,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Madison,WI,3.5,True,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,TRUE,BLANK,1
Las Vegas,NV,3.5,True,none,average,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Las Vegas,NV,3.5,True,none,quiet,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Las Vegas,NV,4.0,True,full_bar,quiet,dressy,3,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,0
Edinburgh,MLN,3.5,True,full_bar,quiet,casual,3,FALSE,TRUE,BLANK,FALSE,TRUE,BLANK,0
Madison,WI,4.0,True,beer_and_wine,average,casual,2,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,1
Sun Lakes,AZ,3.5,True,full_bar,average,casual,3,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,0
Montral,QC,5.0,True,none,quiet,casual,2,BLANK,TRUE,BLANK,TRUE,BLANK,BLANK,1
Charlotte,NC,3.0,False,none,quiet,casual,2,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,1
Phoenix,AZ,4.0,False,none,BLANK,casual,1,FALSE,BLANK,BLANK,TRUE,BLANK,TRUE,0
Madison,WI,4.5,True,none,quiet,casual,1,TRUE,BLANK,BLANK,TRUE,TRUE,BLANK,1
Champaign,IL,4.0,False,none,BLANK,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,4.5,True,none,BLANK,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Las Vegas,NV,3.0,False,full_bar,BLANK,casual,2,BLANK,TRUE,BLANK,TRUE,BLANK,BLANK,0
Montral,QC,3.0,True,none,BLANK,BLANK,BLANK,TRUE,BLANK,BLANK,BLANK,BLANK,BLANK,0
Montral,QC,3.5,False,none,quiet,casual,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1
Montral,QC,3.5,True,none,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,0
Gilbert,AZ,3.0,False,none,BLANK,casual,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,BLANK,1
Glendale,AZ,2.5,True,none,BLANK,BLANK,BLANK,BLANK,FALSE,BLANK,TRUE,BLANK,BLANK,0
Montral,QC,2.5,True,none,average,BLANK,BLANK,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,0
Edinburgh,EDH,3.5,True,full_bar,BLANK,casual,2,BLANK,BLANK,BLANK,TRUE,BLANK,BLANK,1
Scottsdale,AZ,5.0,False,none,BLANK,BLANK,3,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Pittsburgh,PA,3.0,False,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Edinburgh,EDH,4.5,True,none,BLANK,BLANK,4,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Scottsdale,AZ,4.5,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,0
Montreal,QC,3.5,True,none,BLANK,BLANK,2,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,0
Lasalle,QC,3.5,True,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,5.0,False,none,BLANK,BLANK,2,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,5.0,False,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
Phoenix,AZ,5.0,True,none,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0
