city,state,stars,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids,goodForGroups
Charlotte,NC,3.5,FALSE,beer_and_wine,average,casual,2,TRUE,BLANK,BLANK,TRUE,BLANK,BLANK,1
Karlsruhe,BW,2.5,TRUE,full_bar,BLANK,casual,2,BLANK,FALSE,yes,FALSE,BLANK,TRUE,1
Casa Grande,AZ,4,TRUE,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Charlotte,NC,5,TRUE,none,average,casual,1,TRUE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Kitchener,ON,3.5,TRUE,none,quiet,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Las Vegas,NV,4,FALSE,none,quiet,casual,2,TRUE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Tolleson,AZ,3,TRUE,none,loud,casual,1,TRUE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Madison,WI,4,TRUE,full_bar,average,casual,2,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Montral,QC,4.5,TRUE,full_bar,quiet,casual,2,TRUE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Charlotte,NC,4,TRUE,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,3,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,BLANK,FALSE,TRUE,BLANK,0
Mesa,AZ,3.5,TRUE,beer_and_wine,quiet,casual,2,TRUE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Gilbert,AZ,3.5,TRUE,none,average,casual,2,FALSE,TRUE,BLANK,TRUE,TRUE,BLANK,1
Fountain Hills,AZ,4,FALSE,full_bar,quiet,casual,2,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,0
Madison,WI,3,TRUE,beer_and_wine,quiet,casual,2,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Coolidge,AZ,4.5,TRUE,none,BLANK,casual,1,FALSE,TRUE,BLANK,TRUE,TRUE,BLANK,1
Mesa,AZ,3,TRUE,full_bar,quiet,casual,1,TRUE,TRUE,BLANK,TRUE,TRUE,BLANK,0
Scottsdale,AZ,4,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Montreal,QC,4.5,TRUE,full_bar,average,dressy,4,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,1
Montreal,QC,2.5,TRUE,full_bar,BLANK,casual,2,TRUE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Pittsburgh,PA,4,FALSE,none,quiet,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
McFarland,WI,3,TRUE,full_bar,average,casual,2,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Sun City,AZ,1.5,FALSE,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,TRUE,BLANK,1
Karlsruhe,BW,3,TRUE,full_bar,BLANK,casual,2,FALSE,TRUE,no,TRUE,BLANK,BLANK,1
Tempe,AZ,2.5,FALSE,full_bar,loud,casual,2,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Laval,QC,3.5,TRUE,full_bar,average,dressy,3,BLANK,FALSE,BLANK,FALSE,BLANK,BLANK,1
Charlotte,NC,2.5,TRUE,none,average,casual,1,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,0
Las Vegas,NV,2.5,FALSE,beer_and_wine,average,casual,2,FALSE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Charlotte,NC,3,TRUE,none,quiet,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,2,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Pittsburgh,PA,5,TRUE,none,quiet,casual,2,TRUE,BLANK,BLANK,FALSE,BLANK,BLANK,1
Buckeye,AZ,2.5,TRUE,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,TRUE,BLANK,1
Montral,QC,4,TRUE,full_bar,average,dressy,4,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
West Mifflin,PA,3.5,TRUE,none,quiet,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Las Vegas,NV,3,TRUE,full_bar,average,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Montreal,QC,4.5,TRUE,none,quiet,casual,3,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,0
Westmount,QC,5,TRUE,full_bar,quiet,dressy,3,FALSE,FALSE,BLANK,TRUE,FALSE,BLANK,1
Westmount,QC,4,TRUE,none,average,casual,1,TRUE,TRUE,BLANK,TRUE,BLANK,BLANK,0
Sainte-Anne-De-Bellevue,QC,2.5,TRUE,full_bar,BLANK,BLANK,2,TRUE,TRUE,BLANK,TRUE,FALSE,BLANK,1
Edinburgh,EDH,4,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,5,TRUE,full_bar,average,dressy,3,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Edinburgh,EDH,4,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Indian Trail,NC,3,TRUE,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Madison,WI,3.5,FALSE,full_bar,BLANK,casual,1,TRUE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Charlotte,NC,3.5,TRUE,none,average,casual,1,TRUE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Laval,QC,2.5,TRUE,none,quiet,BLANK,1,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,0
Scottsdale,AZ,2.5,FALSE,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Ettlingen,BW,4,TRUE,full_bar,BLANK,casual,2,BLANK,TRUE,outdoor,TRUE,BLANK,BLANK,1
Tempe,AZ,4,FALSE,none,quiet,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Phoenix,AZ,5,TRUE,none,average,casual,1,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Pittsburgh,PA,4.5,TRUE,none,quiet,casual,2,FALSE,TRUE,BLANK,TRUE,TRUE,BLANK,1
Pittsburgh,PA,3.5,TRUE,full_bar,average,dressy,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Charlotte,NC,3.5,TRUE,none,quiet,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Fountain Hills,AZ,3.5,FALSE,full_bar,quiet,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Sharpsburg,PA,4.5,TRUE,full_bar,BLANK,casual,2,FALSE,FALSE,BLANK,BLANK,TRUE,BLANK,1
Charlotte,NC,2.5,TRUE,none,BLANK,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
El Mirage,AZ,2.5,TRUE,none,average,casual,1,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Pittsburgh,PA,3,FALSE,none,BLANK,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montreal,QC,4,FALSE,beer_and_wine,average,casual,2,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montreal,QC,3,TRUE,none,quiet,casual,3,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Montreal,QC,3.5,TRUE,none,quiet,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Montreal,QC,3.5,TRUE,full_bar,average,casual,2,TRUE,TRUE,BLANK,TRUE,BLANK,BLANK,0
Brossard,QC,3.5,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,BLANK,FALSE,TRUE,BLANK,0
Phoenix,AZ,3,TRUE,full_bar,average,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,4,TRUE,none,average,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Scottsdale,AZ,3.5,FALSE,full_bar,average,casual,3,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Montral,QC,4.5,TRUE,beer_and_wine,quiet,casual,3,BLANK,BLANK,BLANK,FALSE,FALSE,BLANK,0
Phoenix,AZ,4.5,TRUE,none,average,casual,1,TRUE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Wesley Chapel,NC,4.5,TRUE,none,average,casual,1,BLANK,FALSE,BLANK,TRUE,TRUE,BLANK,0
Carnegie,PA,4,TRUE,none,average,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Casa Grande,AZ,2.5,TRUE,none,loud,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Charlotte,NC,3.5,FALSE,full_bar,BLANK,casual,3,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,0
Montreal,QC,3.5,TRUE,none,average,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Saint-Laurent,QC,2.5,TRUE,none,average,casual,2,TRUE,TRUE,BLANK,BLANK,BLANK,BLANK,1
Edinburgh,EDH,4.5,TRUE,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Karlsruhe,BW,2.5,TRUE,full_bar,average,dressy,3,BLANK,BLANK,outdoor,TRUE,BLANK,BLANK,1
Brossard,QC,4.5,FALSE,none,quiet,BLANK,1,BLANK,TRUE,no,FALSE,BLANK,BLANK,0
Brossard,QC,4,TRUE,none,average,casual,BLANK,FALSE,BLANK,BLANK,FALSE,TRUE,BLANK,0
Dollard-des-Ormeaux,QC,3.5,TRUE,full_bar,average,casual,2,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Montral,QC,2.5,FALSE,beer_and_wine,average,casual,2,BLANK,BLANK,BLANK,TRUE,TRUE,BLANK,1
Karlsruhe,BW,3,TRUE,beer_and_wine,BLANK,casual,3,TRUE,BLANK,outdoor,TRUE,BLANK,BLANK,0
Cambridge,ON,4.5,TRUE,full_bar,average,BLANK,3,BLANK,BLANK,no,FALSE,BLANK,BLANK,1
Peoria,AZ,5,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,BLANK,BLANK,1
Montreal,QC,3.5,TRUE,none,average,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Laval,QC,4,TRUE,full_bar,average,casual,2,TRUE,TRUE,BLANK,FALSE,TRUE,BLANK,1
Phoenix,AZ,3.5,TRUE,none,average,casual,1,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,4.5,TRUE,none,average,dressy,2,BLANK,FALSE,BLANK,BLANK,BLANK,BLANK,1
Las Vegas,NV,1,TRUE,none,very_loud,casual,2,FALSE,BLANK,BLANK,FALSE,FALSE,BLANK,0
Matthews,NC,3,TRUE,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Phoenix,AZ,1.5,TRUE,none,quiet,casual,1,FALSE,BLANK,BLANK,FALSE,TRUE,BLANK,0
Phoenix,AZ,4,FALSE,full_bar,BLANK,casual,2,FALSE,TRUE,outdoor,TRUE,BLANK,BLANK,1
Charlotte,NC,3.5,FALSE,full_bar,BLANK,casual,2,FALSE,TRUE,outdoor,TRUE,BLANK,BLANK,1
Montreal,QC,4.5,TRUE,none,average,casual,1,BLANK,FALSE,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,3.5,TRUE,none,average,casual,1,FALSE,BLANK,BLANK,FALSE,FALSE,BLANK,1
Madison,WI,3.5,TRUE,full_bar,quiet,BLANK,1,BLANK,TRUE,no,TRUE,BLANK,BLANK,1
Laval,QC,5,TRUE,none,quiet,dressy,4,FALSE,TRUE,BLANK,BLANK,BLANK,BLANK,0
Laval,QC,4.5,TRUE,none,average,casual,1,FALSE,FALSE,BLANK,BLANK,BLANK,BLANK,1
Madison,WI,2,TRUE,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Montreal,QC,4.5,TRUE,none,average,casual,3,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Charlotte,NC,1,TRUE,none,average,casual,1,FALSE,TRUE,BLANK,TRUE,TRUE,BLANK,0
Montral,QC,4.5,TRUE,full_bar,quiet,casual,3,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Cramond Bridge,EDH,3.5,TRUE,full_bar,average,casual,2,BLANK,TRUE,BLANK,TRUE,BLANK,BLANK,1
Longueuil,QC,3,TRUE,full_bar,quiet,casual,2,TRUE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Pittsburgh,PA,2.5,TRUE,none,quiet,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Montral,QC,4,TRUE,full_bar,average,casual,2,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,0
Edinburgh,EDH,3.5,TRUE,none,average,casual,2,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,2,TRUE,full_bar,very_loud,casual,3,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Saint-Laurent,QC,4.5,TRUE,beer_and_wine,quiet,dressy,3,FALSE,FALSE,BLANK,TRUE,FALSE,BLANK,1
Peoria,AZ,3,TRUE,full_bar,very_loud,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,0
Brossard,QC,3,TRUE,none,average,casual,2,BLANK,TRUE,BLANK,BLANK,BLANK,BLANK,0
Gilbert,AZ,3,TRUE,full_bar,quiet,dressy,2,FALSE,FALSE,BLANK,TRUE,TRUE,BLANK,1
Montral,QC,3.5,TRUE,none,average,casual,2,FALSE,BLANK,BLANK,TRUE,FALSE,BLANK,1
Las Vegas,NV,4.5,TRUE,full_bar,average,BLANK,1,BLANK,FALSE,yes,FALSE,BLANK,BLANK,1
Las Vegas,NV,2.5,TRUE,none,average,casual,1,FALSE,FALSE,BLANK,BLANK,FALSE,BLANK,1
Montreal,QC,2.5,TRUE,none,loud,casual,2,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,1
Madison,WI,3.5,FALSE,none,BLANK,casual,1,BLANK,TRUE,BLANK,TRUE,BLANK,BLANK,0
Charlotte,NC,2,TRUE,none,average,casual,2,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Montral,QC,2.5,TRUE,none,average,casual,2,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Edinburgh,EDH,5,TRUE,full_bar,loud,dressy,3,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,4.5,TRUE,none,quiet,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Montral,QC,3.5,TRUE,none,quiet,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,5,TRUE,beer_and_wine,quiet,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Las Vegas,NV,4,TRUE,beer_and_wine,BLANK,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Las Vegas,NV,3.5,FALSE,beer_and_wine,BLANK,casual,1,FALSE,BLANK,BLANK,FALSE,BLANK,TRUE,1
Mc Farland,WI,4.5,TRUE,full_bar,average,BLANK,1,BLANK,TRUE,BLANK,TRUE,BLANK,BLANK,0
Bellevue,PA,2.5,TRUE,none,quiet,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,3.5,TRUE,none,quiet,casual,3,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Pittsburgh,PA,2,TRUE,none,BLANK,casual,1,TRUE,BLANK,yes,TRUE,BLANK,BLANK,1
Karlsruhe,BW,3,TRUE,beer_and_wine,BLANK,casual,2,TRUE,BLANK,outdoor,TRUE,BLANK,TRUE,1
Las Vegas,NV,4,TRUE,full_bar,average,BLANK,2,BLANK,FALSE,outdoor,TRUE,BLANK,BLANK,1
Dollard-Des Ormeaux,QC,2.5,TRUE,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Apache Junction,AZ,3,FALSE,none,average,casual,3,FALSE,FALSE,BLANK,BLANK,FALSE,BLANK,0
Tempe,AZ,3,TRUE,none,BLANK,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,TRUE,0
Charlotte,NC,3,FALSE,full_bar,quiet,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,FALSE,0
Las Vegas,NV,1.5,FALSE,none,BLANK,casual,2,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,1
Phoenix,AZ,3.5,TRUE,none,loud,BLANK,2,FALSE,FALSE,BLANK,TRUE,TRUE,BLANK,1
Henderson,NV,4.5,TRUE,none,quiet,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Brossard,QC,4.5,TRUE,none,BLANK,casual,2,FALSE,BLANK,BLANK,TRUE,BLANK,BLANK,1
Glendale,AZ,4,TRUE,none,average,BLANK,1,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Pittsburgh,PA,3,FALSE,none,BLANK,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,TRUE,0
Madison,WI,3,FALSE,full_bar,BLANK,casual,2,FALSE,FALSE,BLANK,TRUE,BLANK,FALSE,1
Mesa,AZ,3,TRUE,none,BLANK,casual,2,TRUE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Phoenix,AZ,3.5,FALSE,full_bar,BLANK,casual,2,FALSE,BLANK,BLANK,TRUE,BLANK,BLANK,1
Montreal,QC,4.5,TRUE,none,BLANK,casual,BLANK,BLANK,TRUE,BLANK,TRUE,BLANK,BLANK,0
Verdun,QC,3.5,TRUE,full_bar,BLANK,casual,1,TRUE,BLANK,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,3.5,TRUE,full_bar,BLANK,BLANK,2,BLANK,TRUE,outdoor,TRUE,BLANK,BLANK,1
Edinburgh,EDH,3.5,TRUE,full_bar,average,casual,3,BLANK,TRUE,BLANK,BLANK,BLANK,BLANK,1
Montral,QC,3,TRUE,beer_and_wine,BLANK,casual,2,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,0
Waunakee,WI,3,TRUE,full_bar,BLANK,BLANK,1,BLANK,TRUE,BLANK,TRUE,BLANK,BLANK,1
Las Vegas,NV,3.5,FALSE,full_bar,quiet,casual,2,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,3.5,TRUE,full_bar,BLANK,BLANK,2,BLANK,BLANK,BLANK,TRUE,TRUE,BLANK,1
Edinburgh,EDH,3.5,TRUE,beer_and_wine,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,TRUE,BLANK,BLANK,0
Montreal,QC,3,TRUE,none,average,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,0
Phoenix,AZ,3.5,FALSE,full_bar,BLANK,casual,2,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Glendale,AZ,3,TRUE,none,BLANK,casual,2,TRUE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Scottsdale,AZ,3.5,FALSE,full_bar,BLANK,casual,2,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Peoria,AZ,3.5,FALSE,full_bar,BLANK,casual,1,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,0
Las Vegas,NV,3,FALSE,full_bar,BLANK,casual,3,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Charlotte,NC,3.5,FALSE,full_bar,BLANK,casual,3,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Scottsdale,AZ,2.5,FALSE,none,BLANK,casual,1,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Middleton,WI,3.5,FALSE,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Scottsdale,AZ,4,FALSE,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Las Vegas,NV,3,FALSE,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Glendale,AZ,3,FALSE,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Charlotte,NC,3,FALSE,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Phoenix,AZ,2,FALSE,none,BLANK,casual,2,TRUE,TRUE,BLANK,TRUE,BLANK,BLANK,0
Surprise,AZ,4,FALSE,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Phoenix,AZ,3.5,FALSE,full_bar,BLANK,casual,2,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Urbana,IL,3,FALSE,full_bar,BLANK,casual,2,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Surprise,AZ,4,FALSE,none,BLANK,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Laveen,AZ,1.5,FALSE,none,BLANK,casual,1,FALSE,FALSE,BLANK,BLANK,FALSE,BLANK,0
Mesa,AZ,3.5,FALSE,none,BLANK,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Karlsruhe,BW,4,TRUE,full_bar,average,casual,2,TRUE,TRUE,no,TRUE,TRUE,BLANK,1
Edinburgh,EDH,4,TRUE,none,average,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Dollard-des-Ormeaux,QC,2.5,TRUE,none,quiet,casual,3,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Mesa,AZ,3.5,FALSE,full_bar,BLANK,BLANK,BLANK,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Pittsburgh,PA,2.5,TRUE,none,BLANK,casual,1,TRUE,FALSE,BLANK,FALSE,FALSE,BLANK,0
Monona,WI,4,FALSE,none,quiet,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Pittsburgh,PA,3.5,FALSE,full_bar,BLANK,casual,3,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
North Las Vegas,NV,4,FALSE,none,BLANK,casual,2,BLANK,FALSE,BLANK,FALSE,BLANK,TRUE,1
Peoria,AZ,3.5,FALSE,none,BLANK,BLANK,1,TRUE,FALSE,BLANK,FALSE,BLANK,BLANK,0
Glendale,AZ,3.5,FALSE,none,BLANK,casual,1,BLANK,FALSE,BLANK,FALSE,BLANK,BLANK,1
Maricopa,AZ,4.5,FALSE,none,BLANK,casual,2,TRUE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Montreal,QC,4.5,TRUE,beer_and_wine,BLANK,casual,2,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,0
Edinburgh,EDH,3.5,TRUE,full_bar,average,BLANK,1,BLANK,BLANK,no,FALSE,BLANK,BLANK,1
Monona,WI,3.5,TRUE,none,BLANK,BLANK,BLANK,BLANK,TRUE,BLANK,BLANK,BLANK,BLANK,0
Las Vegas,NV,4.5,FALSE,none,BLANK,casual,3,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Madison,WI,4,FALSE,full_bar,BLANK,casual,2,BLANK,FALSE,BLANK,TRUE,BLANK,BLANK,1
Las Vegas,NV,4.5,FALSE,none,BLANK,casual,1,BLANK,BLANK,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,4.5,TRUE,none,very_loud,BLANK,1,BLANK,BLANK,outdoor,FALSE,BLANK,BLANK,1
